Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,UNI_open,UNI_close,UNI_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_UNI_change_1hr,perc_UNI_change_2hr,perc_UNI_change_3hr,perc_UNI_change_4hr,perc_UNI_change_5hr,perc_UNI_change_6hr,lag_time,met_threshold
36571,2021-02-08 16:00:00,43850.99,43250.82,378694297.25,19.75,19.62,4964897.99,-1.3686578113743801,-0.9695866766435511,0.4754664470573983,0.03925165119461062,9.608379851599393,9.602657985118137,-0.6582278481012608,0.8740359897172324,2.4543080939947908,0.15313935681470717,-0.6582278481012608,1.1340206185567134,,
36572,2021-02-08 17:00:00,43250.82,43145.37,230792456.03,19.62,19.48,2446996.94,-0.2438104063691673,-1.609131287571832,-1.2110331297962926,0.23049680401151126,-0.2046544547848409,9.341143215268549,-0.7135575942915421,-1.3670886075949347,0.1542416452442218,1.7232375979112369,-0.5615109749872356,-1.3670886075949347,,
36935,2021-02-23 20:00:00,45507.19,47810.01,258745297.9,21.16,22.8,10966086.19,5.060343211699073,2.0564335030217804,1.4220079559301246,1.0803395080912994,-1.632395751656111,1.8031135435588899,7.750472589792063,2.6102610261026187,0.48479506390480137,-1.2987012987013018,-3.8785834738617124,5.311778290993082,0 days 04:00:00,1.0
36936,2021-02-23 21:00:00,47810.01,47972.46,223199362.36,22.8,23.38,10110263.95,0.33978240121681025,5.417319768590407,2.403203303374585,1.7666220899250882,1.423792712829996,-1.2981599439216391,2.5438596491227994,10.491493383742906,5.220522052205221,3.040987219039214,1.2121212121212015,-1.4333895446880265,,
36937,2021-02-23 22:00:00,47972.46,48634.98,140536941.14,23.38,24.24,4909768.26,1.3810423730615524,1.7255173132153732,6.873177623140434,3.8174349323665555,3.1720622626203716,2.8244982665602936,3.6783575705731373,6.315789473684201,14.55576559546313,9.09090909090909,6.831203173204043,4.935064935064922,,
36938,2021-02-23 23:00:00,48634.98,48898.7,139392021.31,24.24,24.86,5899397.5,0.5422434634495458,1.930774448506493,2.277117281506519,7.4526904429827345,4.380378187208299,3.731506026345526,2.557755775577562,6.330196749358429,9.03508771929824,17.485822306238184,11.881188118811885,9.563684442485668,,
36939,2021-02-24 00:00:00,48898.7,48495.25,218567731.64,24.86,24.65,10785350.69,-0.8250730592019769,-0.2873035004846372,1.0897710894959336,1.4332563410883994,6.566127242749986,3.519163807692506,-0.8447304907481933,1.6914191419141922,5.431993156544053,8.114035087719289,16.493383742911146,10.936093609360935,,
36940,2021-02-24 01:00:00,48495.25,50195.32,239214479.94,24.65,26.17,12198255.61,3.505642305174218,2.651645135760261,3.2082669716323444,4.6336168710130785,4.9891434868974045,10.301954482357617,6.166328600405692,5.269509251810146,7.962046204620476,11.933276304533802,14.78070175438597,23.67674858223063,,
38974,2021-05-19 16:00:00,37451.48,39735.17,861338183.03,27.21,27.56,14783783.69,6.097729649135347,5.710328601152512,10.336180282466072,14.969925951987994,3.0794513867090716,0.957869738354197,1.2862918044836378,7.82472613458529,10.460921843687371,38.631790744466805,4.236006051437206,-6.098807495741065,0 days 01:00:00,1.0
38975,2021-05-19 17:00:00,39735.17,39458.65,499655812.12,27.56,27.0,11069734.26,-0.6959074291112806,5.3593876663886135,4.974682571079145,9.568342606882776,14.169841696044372,2.3621138266218127,-2.0319303338171215,-0.7717750826901906,5.633802816901413,8.216432865731466,35.8148893360161,2.118003025718603,,
