Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,LTC_open,LTC_close,LTC_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_LTC_change_1hr,perc_LTC_change_2hr,perc_LTC_change_3hr,perc_LTC_change_4hr,perc_LTC_change_5hr,perc_LTC_change_6hr,lag_time,met_threshold
679,2017-01-07 10:00:00,824.16,867.68,8454079.21,3.494,3.658,61302.42,5.280528052805279,5.444293214077382,7.106442334991536,4.150762213419749,3.461515530912773,5.348275317800463,4.693760732684593,1.5265056897030174,3.655426466421083,2.2358859698155413,1.1335360796239957,0.7435968052878033,0 days 04:00:00,1.0
680,2017-01-07 11:00:00,867.68,866.74,3211431.11,3.658,3.718,19788.19,-0.10833486999814919,5.166472529605906,5.330060276103444,6.990408709928281,4.037930620573759,3.349430632564244,1.6402405686167318,6.410990269032619,3.1917846239245007,5.355624822896006,3.9128004471771978,2.7923693668786282,,
681,2017-01-07 12:00:00,866.74,880.2,5288777.77,3.718,3.824,118756.87,1.5529455199944662,1.442928268486089,6.799650553290633,6.9657787283686625,8.651911468812882,5.65358300324091,2.850995158687463,4.537998906506285,9.444762449914128,6.133777407715782,8.3593085860017,6.875349357182784,,
682,2017-01-07 13:00:00,880.2,860.78,6072164.77,3.824,3.84,61939.62,-2.206316746194055,-0.687634123266497,-0.7952240457311426,4.4433119782566495,4.605774839587787,6.254706151016523,0.4184100418410046,3.2813340505648165,4.975396391470747,9.902690326273602,6.577851790174845,8.81269481439501,,
683,2017-01-07 14:00:00,860.78,874.79,4048306.05,3.84,3.853,37264.38,1.6275935779177015,-0.6146330379459306,0.9287675658213482,0.8194265166881817,6.143224616579305,6.308331713007968,0.3385416666666757,0.7583682008368295,3.630984400215176,5.330781848004381,10.274756725815683,6.938662225922841,,
684,2017-01-07 15:00:00,874.79,879.03,6806035.96,3.853,3.885,26167.93,0.48468775363230143,2.1201700783010757,-0.13292433537833137,1.4179569421048945,1.3080859302968864,6.657687827606291,0.8305216714248529,1.1718749999999982,1.595188284518827,4.491662183969871,6.205576817933293,11.190612478534618,,
2173,2017-03-10 13:00:00,1199.95,1268.92,39853280.59,3.884,3.908,210740.66,5.747739489145383,5.987988941139133,5.856246663107318,6.474457944552602,6.916744605377362,6.738671444553808,0.02559508574353442,0.5920205920205954,0.5144032921810704,0.25654181631605405,0.617919670442843,1.3222711952294455,0 days 00:00:00,0.0
2174,2017-03-10 14:00:00,1268.92,1253.11,15352180.56,3.915,3.913,69730.35,-1.245941430507847,4.430184591024614,4.667440675559406,4.537339829151084,5.147848560112767,5.584624588188703,0.12794268167860526,0.15357051446121792,0.7207207207207215,0.6430041152263353,0.3848127244740811,0.7466529351184324,,
2175,2017-03-10 15:00:00,1253.11,1239.81,15842291.8,3.882,3.88,31370.29,-1.0613593379671342,-2.294076852756685,3.3218050752114583,3.5565430201381463,3.4278230112119523,4.031852050748469,-0.843342703807818,-0.7164790174002054,-0.691067315075509,-0.12870012870012595,-0.20576131687242818,-0.4617752693689132,,
2176,2017-03-10 16:00:00,1239.81,1245.28,7472207.7,3.9,3.898,16344.14,0.4411966349682635,-0.6248453846829032,-1.8630016076663698,3.7776574023917604,4.013431003232458,3.884143085958351,0.46391752577320206,-0.3833375926399101,-0.2558853633572105,-0.23035577169183255,0.3346203346203435,0.2572016460905409,,
2177,2017-03-10 17:00:00,1245.28,1253.08,3158794.2,3.911,3.863,20426.71,0.6263651548246142,1.0703252917785777,-0.0023940436194725694,-1.2483056457460002,4.427684486853608,4.664934891374248,-0.8978963571062119,-0.43814432989690477,-1.2777919754663896,-1.15148413510747,-1.1261837727156396,-0.5662805662805611,,
2178,2017-03-10 18:00:00,1253.08,1249.12,5354489.4,3.918,3.907,54724.67,-0.31602132345899997,0.3083643839136514,0.7509215121671825,-0.3184078013901421,-1.5603820571825002,4.097670736280666,1.1390111312451472,0.23088763468445095,0.6958762886597973,-0.15333503705596177,-0.025588536335718778,0.0,,
4505,2017-06-15 14:00:00,2152.75,2273.54,48406660.68,25.77,26.97,2765148.87,5.6109627220996385,-1.8261271336842502,-1.62264608141789,-3.2709047744658446,-5.560747857656149,-7.97806245320058,4.656577415599532,-0.5530973451327512,-0.03706449221646243,-1.7486338797814225,-3.0553558590941816,-5.863874345549737,0 days 04:00:00,1.0
4506,2017-06-15 15:00:00,2273.54,2256.02,33791190.61,26.97,26.86,1466407.44,-0.7706044318551678,4.79711996283823,-2.582659348915937,-2.380746330656327,-4.016303469167217,-6.288500920075927,-0.40786058583611207,4.229724485836243,-0.9587020648967609,-0.44477390659748334,-2.149362477231329,-3.450754852624015,,
4507,2017-06-15 16:00:00,2256.02,2345.56,35195217.71,26.86,28.17,1675425.4,3.9689364455988847,3.167747213596417,8.9564510509813,1.2837729885181564,1.4936998061478806,-0.2067715557219615,4.877140729709614,4.449388209121256,9.313154831199078,3.871681415929206,4.410674573758344,2.6229508196721403,,
4508,2017-06-15 17:00:00,2345.56,2261.39,22866449.1,28.17,28.01,2755623.11,-3.5884820682480973,0.2380298047003081,-0.5344088953790165,5.046568342817321,-2.350777043219928,-2.14838341179729,-0.5679801206957761,4.28145941921073,3.8561364479050897,8.692277842452471,3.2817109144542793,3.817642698295037,,
4509,2017-06-15 18:00:00,2261.39,2297.27,18137238.72,27.63,28.42,4932216.9,1.5866347688810913,-2.0587834035368937,1.8284412372230743,1.043746756159998,6.713273719660898,-0.8014405202454389,1.4637629418064981,0.8874689385871495,5.807892777364119,5.376344086021516,10.283275126115647,4.793510324483778,,
4510,2017-06-15 19:00:00,2297.27,2362.84,18644821.28,28.73,29.22,1488262.99,2.854257444706115,4.486178854598291,0.7367110626033954,4.734887102064706,3.927795420357688,9.759145279293934,2.8149190710766963,4.3198857550874585,3.727369542066018,8.786299329858524,8.342602892102336,13.387660069848659,,
5342,2017-07-20 11:00:00,2354.8,2472.97,49570163.81,41.45,42.77,3147078.88,5.0182605741464075,5.497182299465455,5.382094627706483,5.783289202958367,5.560227258175351,4.6250502400947555,3.184559710494572,4.7257590597453465,3.7603105288694914,3.709990300678955,2.763094666025963,2.1495103893002288,0 days 04:00:00,1.0
5343,2017-07-20 12:00:00,2472.97,2525.71,67681801.29,42.77,43.12,4660165.66,2.1326583015564378,7.257941226431113,7.747076715683134,7.629534617138326,8.039285301804714,7.811466207938669,0.8183306055646348,4.028950542822664,5.582761998041121,4.609412906356135,4.5586808923375255,3.604036520903412,,
5344,2017-07-20 13:00:00,2525.71,2604.77,51283948.35,43.12,43.68,3677594.18,3.1302089313499946,5.32962389353693,10.615338882282987,11.119785334305977,10.998563922494425,11.421140659688508,1.298701298701304,2.127659574468077,5.37997587454764,6.953966699314389,5.967976710334791,5.9165858389912644,,
5345,2017-07-20 14:00:00,2604.77,2581.87,57954411.12,43.68,42.9,2298939.25,-0.8791563170644661,2.223533184728249,4.403611851336656,9.64285714285713,10.142868722030952,10.022713035918974,-1.7857142857142885,-0.5102040816326504,0.30395136778114434,3.4981905910735724,5.044074436826628,4.075691411935953,,
