Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,XRP_open,XRP_close,XRP_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_XRP_change_1hr,perc_XRP_change_2hr,perc_XRP_change_3hr,perc_XRP_change_4hr,perc_XRP_change_5hr,perc_XRP_change_6hr,lag_time,met_threshold
679,2017-01-07 10:00:00,824.16,867.68,8454079.21,0.006265,0.006216,158.24,5.280528052805279,5.444293214077382,7.106442334991536,4.150762213419749,3.461515530912773,5.348275317800463,-0.782122905027926,-1.3333333333333313,-0.032164683177861024,-0.032164683177861024,-0.8612440191387596,0.3389830508474606,0 days 00:00:00,0.0
680,2017-01-07 11:00:00,867.68,866.74,3211431.11,0.006216,0.006212,143.18,-0.10833486999814919,5.166472529605906,5.330060276103444,6.990408709928281,4.037930620573759,3.349430632564244,-0.06435006435007289,-0.8459696727853168,-1.3968253968254032,-0.09649404953361096,-0.09649404953361096,-0.9250398724083055,,
681,2017-01-07 12:00:00,866.74,880.2,5288777.77,0.006212,0.006249,253.53,1.5529455199944662,1.442928268486089,6.799650553290633,6.9657787283686625,8.651911468812882,5.65358300324091,0.5956213779781162,0.5308880308880316,-0.2553870710295215,-0.8095238095238069,0.49855258925700624,0.49855258925700624,,
682,2017-01-07 13:00:00,880.2,860.78,6072164.77,0.006249,0.00615,46.77,-2.206316746194055,-0.687634123266497,-0.7952240457311426,4.4433119782566495,4.605774839587787,6.254706151016523,-1.5842534805568913,-0.9980682549903341,-1.0617760617760632,-1.8355945730247352,-2.38095238095238,-1.0935992280475955,,
683,2017-01-07 14:00:00,860.78,874.79,4048306.05,0.00615,0.006175,185.62,1.6275935779177015,-0.6146330379459306,0.9287675658213482,0.8194265166881817,6.143224616579305,6.308331713007968,0.40650406504064795,-1.184189470315255,-0.5956213779781022,-0.6595881595881634,-1.4365522745410984,-1.9841269841269857,,
684,2017-01-07 15:00:00,874.79,879.03,6806035.96,0.006175,0.006218,41.55,0.48468775363230143,2.1201700783010757,-0.13292433537833137,1.4179569421048945,1.3080859302968864,6.657687827606291,0.6963562753036379,1.1056910569105607,-0.4960793726996422,0.09658725048293512,0.03217503217502249,-0.7501995211492445,,
2173,2017-03-10 13:00:00,1199.95,1268.92,39853280.59,0.00644,0.00629,40448.37,5.747739489145383,5.987988941139133,5.856246663107318,6.474457944552602,6.916744605377362,6.738671444553808,-2.1772939346811877,-1.9638403990024977,-2.3291925465838634,-2.4806201550387663,-1.2558869701726878,-0.7886435331230374,0 days 00:00:00,0.0
2174,2017-03-10 14:00:00,1268.92,1253.11,15352180.56,0.00629,0.00619,20374.59,-1.245941430507847,4.430184591024614,4.667440675559406,4.537339829151084,5.147848560112767,5.584624588188703,-1.5898251192368744,-3.7325038880248798,-3.5224438902743085,-3.8819875776397548,-4.031007751937982,-2.825745682888534,,
2175,2017-03-10 15:00:00,1253.11,1239.81,15842291.8,0.00619,0.00624,8422.72,-1.0613593379671342,-2.294076852756685,3.3218050752114583,3.5565430201381463,3.4278230112119523,4.031852050748469,0.8077544426494297,-0.7949125596184372,-2.9548989113530335,-2.7431421446384032,-3.1055900621118093,-3.2558139534883743,,
2176,2017-03-10 16:00:00,1239.81,1245.28,7472207.7,0.00624,0.0061,2352.28,0.4411966349682635,-0.6248453846829032,-1.8630016076663698,3.7776574023917604,4.013431003232458,3.884143085958351,-2.2435897435897356,-1.453957996768979,-3.0206677265500668,-5.132192846034208,-4.925187032418944,-5.279503105590062,,
