Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,DOT_open,DOT_close,DOT_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_DOT_change_1hr,perc_DOT_change_2hr,perc_DOT_change_3hr,perc_DOT_change_4hr,perc_DOT_change_5hr,perc_DOT_change_6hr,lag_time,met_threshold
36323,2021-01-29 08:00:00,32323.72,36388.23,457905491.34,16.29,16.75,2493213.7,12.5743880964196,11.82890175542116,10.118670062485341,9.862769020634024,7.6010105938480965,6.820022551012067,2.8238182934315583,2.760736196319014,3.140394088669961,2.258852258852265,0.6006006006006092,-1.2964054213317553,0 days 04:00:00,1.0
36324,2021-01-29 09:00:00,36388.23,36974.0,985792588.74,16.83,16.77,27151387.81,1.609778766375822,14.386586692373275,13.62909967055121,11.891337030966678,11.631316548480704,9.333148814793663,0.11940298507462432,2.9465930018416233,2.883435582822079,3.2635467980295636,2.3809523809523845,0.7207207207207267,,
36325,2021-01-29 10:00:00,36974.0,36709.12,330784859.54,16.77,16.64,9523790.15,-0.7163953048087774,0.8818510820669194,13.56712655597809,12.815066135614895,11.089752745989067,10.831595038031166,-0.7751937984496065,-0.6567164179104443,2.1485573971761904,2.0858895705521463,2.4630541871921316,1.587301587301597,,
36326,2021-01-29 11:00:00,36709.12,37141.43,204778800.2,16.62,17.02,1938327.48,1.1776637522228743,0.4528317195867374,2.069900074831881,14.904565439868922,14.143648276540294,12.398016496512597,2.28365384615384,1.4907573047107932,1.61194029850746,4.481276856967468,4.417177914110422,4.802955665024638,,
36327,2021-01-29 12:00:00,37141.43,37951.06,236689827.46,17.02,17.49,2600620.04,2.1798568337298736,3.383191969733938,2.642559636501319,4.2948777667943565,17.40932046187752,16.631816393765046,2.7614571092831897,5.108173076923063,4.293381037567078,4.417910447761185,7.366482504604048,7.300613496932501,,
36328,2021-01-29 13:00:00,37951.06,38348.39,309578824.87,17.48,17.26,6516636.1,1.046953629226698,3.249632553189253,4.465566050071472,3.7171796397468473,5.386796774671359,18.63854160350355,-1.31503716409375,1.4101057579318566,3.7259615384615445,2.9218843172331663,3.0447761194029943,5.9545733578882905,,
36567,2021-02-08 12:00:00,39459.41,43233.85,717360063.46,22.29,22.01,5207569.47,9.565373633310774,9.559654011875374,10.87197414807617,10.242315152748374,9.982706549633571,10.710965888284838,-1.256168685509186,-0.1361161524500798,6.431334622823994,9.502487562189055,9.502487562189055,9.339294585196239,0 days 00:00:00,1.0
36568,2021-02-08 13:00:00,43233.85,43046.15,1280200408.62,22.18,21.96,41081969.7,-0.4341505556410014,9.089694954891616,9.084000165224458,10.39062285626215,9.763697528961213,9.505216018039325,-0.2271694684234471,-1.4804845222072602,-0.3629764065335676,6.189555125725344,9.25373134328358,9.25373134328358,,
36569,2021-02-08 14:00:00,43046.15,43674.28,505810693.82,22.13,22.56,3188892.62,1.4592013455326374,1.018715659142085,10.681533251510844,10.675755363396238,12.001444310322587,11.36537088021019,2.73224043715846,2.4988641526578697,1.2113055181695809,2.3593466424682377,9.090909090909086,12.23880597014924,,
36570,2021-02-08 15:00:00,43674.28,43850.99,398064505.67,22.56,22.5,5788774.38,0.40460884529750496,1.8697142485448675,1.4274463181049095,11.129360525157356,11.123559259196366,12.45461206086311,-0.26595744680850497,2.459016393442619,2.226260790549743,0.9421265141319015,2.087114337568062,8.800773694390717,,
