Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,ADA_open,ADA_close,ADA_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_ADA_change_1hr,perc_ADA_change_2hr,perc_ADA_change_3hr,perc_ADA_change_4hr,perc_ADA_change_5hr,perc_ADA_change_6hr,lag_time,met_threshold
8104,2017-11-12 07:00:00,5616.67,6138.88,171567794.75,0.02275,0.02541,741474.38,9.296918119180306,5.205359254448047,2.2190918158188833,1.1602595052789229,-0.7435887900634901,-0.9036523827818477,11.69230769230769,4.182041820418204,0.9936406995230533,0.6735340729001585,-3.0892448512585875,-5.044843049327357,0 days 04:00:00,1.0
8105,2017-11-12 08:00:00,6138.0,6175.41,139675410.64,0.02541,0.02458,365510.25,0.5950596851542911,9.947300016023645,5.831393933993007,2.827356421745671,1.7622234269922994,-0.15295390202219344,-3.2664305391578017,8.043956043956053,0.7790077900779118,-2.305246422893471,-2.6148969889064877,-6.254767353165519,,
8106,2017-11-12 09:00:00,6175.39,6219.36,78581727.39,0.02458,0.0245,1374286.11,0.7116936365358708,1.3109883236029953,10.729787953780688,6.5845892300784445,3.559172174017294,2.4864586955196186,-0.32546786004882106,-3.581267217630845,7.6923076923077,0.45100451004511055,-2.6232114467408483,-2.931854199683033,,
8107,2017-11-12 10:00:00,6219.88,6377.67,53126071.5,0.02451,0.02577,337627.06,2.545438758971991,3.2752481211773827,3.889797487489574,13.548346894083721,9.297634675431947,6.1952074810052675,5.183673469387756,4.8413344182262,1.4167650531287002,13.274725274725283,5.658056580565817,2.42448330683626,,
8108,2017-11-12 11:00:00,6377.73,6380.07,67646118.37,0.02589,0.02539,321666.81,0.03763129795049973,2.584027938566027,3.3141119375069814,3.928892566722262,13.591076610821299,9.338764793989506,-1.474582848273193,3.6326530612244836,3.295362082994297,-0.07870916961825733,11.604395604395606,4.100041000410008,,
8109,2017-11-12 12:00:00,6380.07,6194.6,50235039.08,0.02527,0.02379,304579.27,-2.907021396316958,-2.8704840482495912,-0.3981117028118538,0.31074859806880045,0.9076574228523812,10.288959709437936,-6.301693580149668,-7.683352735739242,-2.897959183673479,-3.2139951179821096,-6.375442739079102,4.571428571428568,,
8526,2017-11-29 21:00:00,9509.08,10194.6,132095964.1,0.09007,0.1063,151671.81,7.199301783921047,6.6452147424095305,-1.7405946300742456,-3.808647654093833,-6.029640308459779,-6.16405320923246,18.01931830798269,10.786868160500273,-0.468164794007491,15.581167772099608,15.468172930697374,-8.911739502999136,0 days 04:00:00,1.0
8527,2017-11-29 22:00:00,10194.32,9998.52,105436603.83,0.1063,0.09845,88562.38,-1.9233711965158016,5.137461290543059,4.594031399591603,-3.6304877308270984,-5.65876441865402,-7.837039140029159,-7.384760112888062,9.303874764072386,2.605523710265766,-7.818352059925103,7.045775796455366,6.941125353030625,,
8528,2017-11-29 23:00:00,10000.65,9837.86,81234878.67,0.09848,0.08993,59062.03,-1.606837811996174,-3.4993035528613166,3.4480728079537735,2.9133749539718137,-5.178989493204461,-7.174675064279475,-8.654139156932454,-15.39981185324554,-0.1554346619296117,-6.274101094319956,-15.795880149812744,-2.218114602587801,,
8529,2017-11-30 00:00:00,9848.05,10018.15,64907773.93,0.0899,0.09955,36503.13,1.8326140034519605,0.19632905670038367,-1.7308182763423843,5.3438766765335135,4.799379874803324,-3.441286376442271,10.697208940286894,1.1173184357541939,-6.349952963311388,10.525147107805044,3.7519541427827057,-6.78838951310862,,
